variant benchmark hosts processes schedulers cores workers runtime
Ordered knapPI_12_50_1000_018 4 8 4 5 32 75.763393902
Ordered knapPI_12_50_1000_018 4 8 4 5 32 75.866119552
Ordered knapPI_12_50_1000_018 4 8 4 5 32 76.029926867
Ordered knapPI_12_50_1000_018 4 8 4 5 32 76.085198636
Ordered knapPI_12_50_1000_018 4 8 4 5 32 76.209083638
Ordered knapPI_12_50_1000_018 4 8 4 5 32 76.384869043
Ordered knapPI_12_50_1000_018 4 8 4 5 32 76.420332554
Ordered knapPI_12_50_1000_018 4 8 4 5 32 76.567196658
Ordered knapPI_12_50_1000_018 4 8 4 5 32 76.849875474
Ordered knapPI_12_50_1000_018 8 16 4 5 64 45.163684387
Ordered knapPI_12_50_1000_018 8 16 4 5 64 45.197114924
Ordered knapPI_12_50_1000_018 8 16 4 5 64 45.398224235
Ordered knapPI_12_50_1000_018 8 16 4 5 64 45.612946391
Ordered knapPI_12_50_1000_018 8 16 4 5 64 45.698495853
Ordered knapPI_12_50_1000_018 8 16 4 5 64 46.0485216
Ordered knapPI_12_50_1000_018 8 16 4 5 64 46.492747283
Ordered knapPI_12_50_1000_018 8 16 4 5 64 46.929226388
Ordered knapPI_12_50_1000_018 8 16 4 5 64 47.618276204
Ordered knapPI_12_50_1000_018 8 16 4 5 64 50.067928446
Ordered knapPI_12_50_1000_018 16 32 4 5 128 33.40550405
Ordered knapPI_12_50_1000_018 16 32 4 5 128 33.485405404
Ordered knapPI_12_50_1000_018 16 32 4 5 128 33.574676146
Ordered knapPI_12_50_1000_018 16 32 4 5 128 33.630046895
Ordered knapPI_12_50_1000_018 16 32 4 5 128 33.859141112
Ordered knapPI_12_50_1000_018 16 32 4 5 128 34.086281214
Ordered knapPI_12_50_1000_018 16 32 4 5 128 34.26861824
Ordered knapPI_12_50_1000_018 16 32 4 5 128 34.913293698
Ordered knapPI_12_50_1000_018 16 32 4 5 128 35.077122447
Ordered knapPI_12_50_1000_018 16 32 4 5 128 35.461720491
