instance hosts processes threads workersPerProc totalWorkers runtime maxclique
p_hat1000-2 17 50 5 4 200 9.232 46
p_hat1000-2 2 2 5 4 8 25.618 46
p_hat1000-2 2 2 5 4 8 27.094 46
p_hat1000-2 2 2 5 4 8 28.263 46
p_hat1000-2 2 2 5 4 8 32.723 46
p_hat1000-2 2 2 5 4 8 33.844 46
p_hat1000-2 4 8 5 4 32 6.925 46
p_hat1000-2 4 8 5 4 32 7.332 46
p_hat1000-2 4 8 5 4 32 7.433 46
p_hat1000-2 4 8 5 4 32 7.648 46
p_hat1000-2 4 8 5 4 32 8.063 46
p_hat1000-2 8 16 5 4 64 5.901 46
p_hat1000-2 8 16 5 4 64 6.51 46
p_hat1000-2 8 16 5 4 64 6.547 46
p_hat1000-2 8 16 5 4 64 7.707 46
p_hat1000-2 8 16 5 4 64 9.734 46
brock800_2 1 1 5 4 4 2751.45 24
brock800_2 1 1 5 4 4 2645.51 24
brock800_2 1 1 5 4 4 2638.32 24
brock800_2 1 1 5 4 4 2725.84 24
brock800_2 1 1 5 4 4 2649.43 24
brock800_3 1 1 2 1 1 3358.91 25
brock800_3 1 1 2 1 1 3403.13 25
brock800_3 1 1 2 1 1 3387.08 25
brock800_3 1 1 2 1 1 3388.24 25
brock800_3 1 1 2 1 1 3393.26 25
brock800_3 1 1 3 2 2 2575.24 25
brock800_3 1 1 3 2 2 2702.54 25
brock800_3 1 1 3 2 2 2624.24 25
brock800_3 1 1 3 2 2 2732.31 25
brock800_3 1 1 3 2 2 2716.6 25
brock800_3 1 1 5 4 4 2729.24 25
brock800_3 1 1 5 4 4 2737.02 25
brock800_3 1 1 5 4 4 2737.51 25
brock800_3 1 1 5 4 4 2942.17 25
brock800_3 1 1 5 4 4 2366.54 25
brock800_4 1 1 2 1 1 1220.32 26
brock800_4 1 1 2 1 1 1239.32 26
brock800_4 1 1 2 1 1 1237.36 26
brock800_4 1 1 2 1 1 1218.03 26
brock800_4 1 1 2 1 1 1225.33 26
brock800_4 1 1 3 2 2 946.17 26
brock800_4 1 1 3 2 2 964.165 26
brock800_4 1 1 3 2 2 948.608 26
brock800_4 1 1 3 2 2 914.029 26
brock800_4 1 1 3 2 2 942.861 26
brock800_4 1 1 5 4 4 808.404 26
brock800_4 1 1 5 4 4 764.636 26
brock800_4 1 1 5 4 4 788.297 26
brock800_4 1 1 5 4 4 730.606 26
brock800_4 1 1 5 4 4 826.413 26
p_hat500-3 1 1 2 1 1 147.554 50
p_hat500-3 1 1 2 1 1 150.415 50
p_hat500-3 1 1 2 1 1 150.245 50
p_hat500-3 1 1 2 1 1 147.606 50
p_hat500-3 1 1 2 1 1 149.021 50
p_hat500-3 1 1 3 2 2 94.029 50
p_hat500-3 1 1 3 2 2 98.62 50
p_hat500-3 1 1 3 2 2 91.681 50
p_hat500-3 1 1 3 2 2 97.407 50
p_hat500-3 1 1 3 2 2 94.355 50
p_hat500-3 1 1 5 4 4 124.426 50
p_hat500-3 1 1 5 4 4 119.101 50
p_hat500-3 1 1 5 4 4 125.861 50
p_hat500-3 1 1 5 4 4 120.406 50
p_hat500-3 1 1 5 4 4 125.725 50
brock400_1 1 1 2 1 1 318.452 27
p_hat700-3 1 1 2 1 1 1378.03 62
p_hat700-3 1 1 2 1 1 1368.33 62
p_hat700-3 1 1 2 1 1 1363.14 62
p_hat700-3 1 1 2 1 1 1359.99 62
p_hat700-3 1 1 2 1 1 1371.92 62
p_hat700-3 1 1 3 2 2 788.428 62
p_hat700-3 1 1 3 2 2 792.484 62
p_hat700-3 1 1 3 2 2 808.451 62
p_hat700-3 1 1 3 2 2 791.169 62
p_hat700-3 1 1 3 2 2 782.348 62
brock400_1 1 1 2 1 1 317.913 27
p_hat700-3 1 1 5 4 4 1035.66 62
